id,badgegeber_id,status,name,deklarierte_funktion,infocube_id_person,kategorie,infocube_id,geschlecht,person.city,person.kanton,bemerkungen
94,94,,Walter Stüdeli,Geschäftsführung Verbände,4909799,S,4909799,M,Bern,BE,
341,95,,Giovanni Giunta,Futuro PMI / Relève PME / KMUnext,6238466,S,6238466,M,Montreux,VD,
95,95,,Kurt Howald,Gast,,0,,,,,
342,96,,Adrian Schmid,Schweizerischer Heimatschutz,,S,,,,,
96,96,,Jürgen Schulz,Persönlicher Mitarbeiter,,1,,,,,
97,97,,In-Albon Hans-Peter,Verband Schweizerischer Elektro-Installationsfirmen VSEI,5131473,S,5131473,M,Waldkirch,SG,
344,98,,Christian Köpe,Galencia,926284,M,926284,M,Zürich,ZH,
98,98,,Klaus Künzli,Gastrosuisse,6804000,S,6804000,M,Ittigen,BE,
99,99,,Marie-Jo Girardin,Persönliche Mitarbeiterin,,1,,,,,
345,99,,Michel Darbellay,Chambre jurassienne d'agriculture,,S,,,,,
100,100,,Stefan Kilchenmann,Swisscom,270640,J,270640,M,Schliern b. Köniz,BE,https://www.xing.com/profiles/Stefan_Kilchenmann
346,100,,Thomas Zwald,Verband Schweizer Elektrizitätsunternehmen VSE,,S,,,,,
101,101,,Kurt Wilhelm,Sanitas Krankenversicherung,527127,K,527127,M,Aarau,AG,
347,101,,Urs Brogli,FDP Gesundheitskommission,888313,2,888313,M,Zürich,ZH,"Leiter Kommunikation & Public Affairs von The Swiss Leading Hospitals: http://www.slh.ch/de/aktuelles/meldungen/neuer-leiter-kommunikation.php, Leiter der Unternehmenskommunikation bei
 der Privatklinikgruppe Hirslanden, Präsident der 
gesundheitspolitischen Kommission des Dachverbandes der Privatkliniken 
Schweiz (PKS):http://www.bilanz.ch/unternehmen/urs-brogli-ueber-reformen-im-gesundheitswesen-auf-der-intensivstation"
102,102,neue Funktionsbezeichnung,Stefan Jakob,Ecopolitics,,S,,,,,
348,102,,Yvonne Ribi,Schweizerischer Berufsverband der Pflegefachfrauen und Pflegefachmänner SBK-ASI,,S,,,,,
349,103,,Armin Menzi,Persönlicher Mitarbeiter,864193,1,864193,M,Frauenfeld,TG,
103,103,,Dieter Meile,Persönlicher Mitarbeiter,,1,,,,,
350,104,,Annette Walder,Gast,,0,,,,,
104,104,,Daniela Lehmann,Gewerkschaft des Verkehrspersonals Sev,,S,,,,,
105,105,,Christine Davatz-Höchner,Schweizerischer Gewerbeverband SGV,669335,S,669335,F,Messen,SO,
351,105,,Peter Stähli,Kleine und mittlere Unternehmen (KMU),,S,,,,,
106,106,,Gallus Cadonau,Schweizerische Greina-Stiftung / Solaragentur Schweiz,103036,S,103036,M,Zürich,ZH,
352,106,,Peter Schmid,Wohnbaugenossenschaft Schweiz,,S,,,,,
107,107,,Martin Rufer,Schweizerischer Bauernverband,5774114,S,5774114,M,Solothurn,SO,
354,108,,Liliane Brunisholz,Union suisse des paysans,,S,,,,,
108,108,,Martin Pidoux,Schweizerischer Bauernverband,6815095,S,6815095,M,Fribourg,FR,
355,109,,Jean-Claude Hennet,Conférence des directeurs des transports de suisse occidentale CTSO,,S,,,,,
109,109,,Raphaël Ciocchi,Persönlicher Mitarbeiter,6607224,1,6607224,M,Vicques,JU,
110,110,,Alexander Segert,Gast,,0,,,,,
356,110,,Ernst Stocker,Gast,,0,,,,,
111,111,,Bettina Ramseier Rey,Curaviva,5686206,Q,5686206,F,Icogne,VS,
357,111,,Elsbeth Wandeler,Persönliche Mitarbeiterin,,1,,,,,
112,112,,Bruno Henggi,Interpharma Basel,5754911,M,5754911,M,Riehen,BS,
358,112,,Mike Bacher,Persönlicher Mitarbeiter,,1,,,,,
113,113,,Pascal Gentinetta,Economiesuisse,,S,,,,,
114,114,,Urs Wellauer,Schweizerischer Bäcker-Confiseurmeister-Verband,520100,S,520100,M,Bern,BE,
115,115,,Florence Schurch,Chancellerie de la République et Canton de Gèneve,,2,,,,,
361,115,,Pierre Maudet,Commission fédérale pour l'enfance et la jeunesse,4757083,2,4757083,M,Genève,GE,
116,116,,Beat Meiner,Schweizerische Flüchtlingshilfe,5770043,Q,5770043,M,Bern,BE,
119,119,,Cornelia Stamm Hurter,Gast,p26002615664,0,p26002615664,,,,
120,120,,Rolf Hartl,Erdöl-Vereinigung,218441,S,218441,M,Eglisau,ZH,
366,120,,Valentin Vogt,Schweizerischer Arbeitgeberverband,505270,S,505270,M,Hombrechtikon,ZH,
121,121,,Harald Burgener,Gast,,0,,,,,
367,121,,Oliver Schnyder,Verband Walliser Gemeinden,,S,,,,,
368,122,,Martine Schneider,Gast,,0,,,,,
122,122,,Werner Müller,SVS / BirdLife Schweiz,,S,,,,,
123,123,,Dominik Bachmann,Aidshilfe Schweiz,,S,,,,,
369,123,,Martin Dätwyler,Handelskammer beider Basel,,S,,,,,
370,124,,Daniel Wiener,Persönlicher Mitarbeiter,853105,1,853105,M,Basel,BS,
124,124,,Mirjam Ballmer,Pro Natura,5654519,S,5654519,F,Basel,BS,Projektleiterin für Naturschutzpolitik bei Pro Natura
125,125,,Lucia Döbeli,Swiss Life,,K,,,,,
126,126,,Aliki Panayides,Persönliche Mitarbeiterin,p22005361383,1,p22005361383,,,,
372,126,,Marcel Durst,Geschäftsführer Association Spitex Privée Suisse ASPS,1065079,S,1065079,M,Avenches,VD,
373,127,,André Frutschi,Persönlicher Mitarbeiter,,1,,,,,
127,127,,Annina Schneider,Alliance Sud,,S,,,,,
128,128,,Herbert Winter,Schweizerischer Israelitischer Gemeindebund,25037,S,25037,M,Zürich,ZH,
374,128,,Peter Kyburz,KV Schweiz,713874,P,713874,M,Winterthur,ZH,
375,129,,Beat Zbinden,Persönlicher Mitarbeiter,,1,,,,,
129,129,,Hans-Rudolf Müller,AXA Versicherungen,18642,K,18642,M,Wiesendangen,ZH,
131,131,,Morten Keller,Gast,,0,,,,,
377,131,,Morten Keller,,,,,,,,
378,132,,Barbara Züst,Persönliche Mitarbeiterin,,1,,,,,
132,132,,Kalim Ghulam,Powercondens,6942944,G,6942944,M,Chur,GR,
133,133,,Christof Berger,Persönlicher Mitarbeiter,,1,,,,,
379,133,,Rosmarie Glauser,Verband Schweizer Assistenz- und Oberärztinnen- und Ärzte VSAO,,S,,,,,
134,134,,Charles Buser,Bauenschweiz,,S,,,,,
380,134,,Urs Glutz,Swisspower,681493,K,681493,M,Brugg AG,AG,
136,136,,Susanne Brunner,Economiesuisse,4088504,S,4088504,F,Zürich,ZH,
137,137,,Paul Aenishänslin,PAE-PAC Public Affairs & Communications,1014565,M,1014565,M,Gelterkinden,BL,
383,137,,Urs Näf,Economiesuisse,,S,,,,,
138,138,,Marcel Sennhauser,Scienceindustries,1067385,S,1067385,M,Arni AG,AG,
384,138,,Simone Fedele Wyss,Helvetia und Präsidentin Basler Ökonomen,,K,,,,,
139,139,,Bruno Weber-Gobet,Travailsuisse,4302631,S,4302631,M,Schmitten FR,FR,
385,139,,Maxwell Sigurd,Alprail,1022882,S,1022882,M,Thônex,GE,
386,140,,Claudia Bolla-Vincenz,Swisscable,791471,S,791471,F,Vallamand,VD,
140,140,,Dominique Reber,Hirzel.Neef.Schmid Konsulenten,5285695,M,5285695,M,Worb,BE,
388,142,,Alain Carrupt,Syndicom,1144647,S,1144647,M,Belfaux,FR,
142,142,,Luca Cirigliano,Schweizerischer Gewerkschaftsverbund,p25015040091,S,p25015040091,,,,
389,143,neue Funktionsbezeichnung,Gabi Badertscher,YJOO Communications,4957570,M,4957570,F,Uttwil,TG,
143,143,alt,Hansjörg Fasnacht,Persönlicher Mitarbeiter,155871,1,155871,M,Tägerwilen,TG,
144,144,,Maria Luisa Bernini Burkhard,Swiss Communication Agency,6311215,M,6311215,F,Ascona,TI,
390,144,,Rudolf Wyder,Auslandschweizer Organisation,534408,S,534408,M,Bern,BE,
145,145,,Raymond Loretan,Gast,5617064,0,5617064,M,Genève,GE,Beweis: http://www.srgd.ch/index.php?id=1319
391,145,,Varuna Singh Auroi,Kanton Genf,,2,,,,,
392,146,,Martin Muerner,Radio Berner Oberland,5546035,J,5546035,M,Oberhofen am Thunersee,BE,
146,146,,Thomas Moser,Kanton Bern,,2,,,,,
393,147,,Daniel Borner,Verband Schweizerischer Schreinermeister und Möbelfabrikanten VSSM,,S,,,,,
147,147,,Judith Fischer,Suva,6549004,K,6549004,F,Cham,ZG,
394,148,,Christian Zeyer,Swisscleantech,5579517,M,5579517,M,Ostermundigen,BE,
148,148,,Yves Weidmann,Schweizerische Bankiervereinigung SBVG,5500705,S,5500705,M,Burgdorf,BE,
395,149,,Ernest Geiser,Gast,,0,,,,,
149,149,,Monika Maire-Hefti,Gast,906925,0,906925,F,Les Ponts-de-Martel,NE,
396,150,,Lukas Schürch,Neue Europäische Bewegung Schweiz Nebs,,S,,,,,
150,150,,Thierry Burkart,Touring Club Suisse TCS,4308851,S,4308851,M,Baden,AG,
151,151,,Andreas Tschöpe,Conseil Suisse des Activités de Jeunesse,,S,,,,,
397,151,,Mohamed Hamdaoui,Syndicom,6657780,S,6657780,M,Biel/Bienne,BE,
398,152,,Andreas Schefer,SRG Deutschschweiz,6348926,J,6348926,M,Bern,BE,
152,152,,Hannes Rettenmund,Persönlicher Mitarbeiter,,1,,,,,
153,153,,Doris Güttinger,Fédération suisse des sages-femmes SHV / FSSF,,S,,,,,
399,153,,Marie Pasquier Maridat,Persönliche Mitarbeiterin,,1,,,,,
154,154,,Babette Sigg Frank,CVP Frauen Schweiz,p29001217247,2,p29001217247,,,,
400,154,,François Tissot-Daguette,La Poste,,H,,,,,
155,155,,Claudio Kuster,Persönlicher Mitarbeiter,,1,,,,,
402,156,neue Funktionsbezeichnung,Johan Rochel,Persönlicher Mitarbeiter / Représentant de foraus,,1,,,,,
156,156,,Maxim Wuersch,Persönlicher Mitarbeiter,,1,,,,,
403,157,,Patrick Kneubühl,Treuhand Suisse,,M,,,,,
157,157,,Thomas Pletscher,Economiesuisse,975318,S,975318,M,Fällanden,ZH,
158,158,,Markus Flury,Schweizer Musikrat SMR,,S,,,,,
405,159,,Ersin Dincer,Kinderlobby,,S,,,,,
159,159,,Martin Bosshard,Bio Suisse,,S,,,,,
160,160,,Helene Müller-Bühler,Gast,p25000897613,0,p25000897613,,,,
406,160,,Oscar J. Schwenk,Pilatus Aircraft,702264,H,702264,M,Mauensee,LU,
408,162,,Monika Sommer,Hauseigentümerverband Schweiz,4692736,S,4692736,F,Dübendorf,ZH,
162,162,,Rudolf Zumbühl,Touring Club Suisse TCS,5612965,S,5612965,M,Villars-sur-Glâne,FR,
163,163,,Ottilia Müller,Persönliche Mitarbeiterin,,1,,,,,
409,163,,Reinhard Frei,Persönlicher Mitarbeiter,,1,,,,,
164,164,,Jürg Maurer,Migros-Genossenschaft-Bund,,G,,,,,
165,165,,Franz Grüter,Gast,,0,,,,,
412,166,,Marc Herkenrath,Alliance Sud,p29002609056,S,p29002609056,,,,
166,166,,Patrick Hadi Huber,Persönlicher Mitarbeiter,5725885,1,5725885,M,Zürich,ZH,
167,167,,Egger Michel,Alliance Sud,,S,,,,,
,167,,Neirynck Julien,Gast,,,,,,,
168,168,,Bollag Josef,"Institute for Security Analysis and Strategic Netwroking, Stiftung ISSN",363,S,363,M,Baden,AG,
414,168,,Studer Marc,Le Lobby des Citoyens,4127563,S,4127563,M,Genève,GE,
415,169,,Fredy Müller,Mueller Consulting und Partner,,M,,,,,
169,169,,Roger Hedi,Sport-Toto-Gesellschaft,,R,,,,,
170,170,,Cherix François,Gast,,0,,,,,
416,170,,Leumann Luc,Verkehrsclub der Schweiz VCS,,S,,,,,
417,171,,Andreas Hugi,Furrer.Hugi und Partner,4513204,M,4513204,M,Zumikon,ZH,
171,171,,Furrer Lorenz,Furrer.Hugi und Partner,5105362,M,5105362,M,Muri b. Bern,BE,
172,172,,Nussbaumer Michael,Persönlicher Mitarbeiter,6562803,1,6562803,M,Basel,BS,Familienmitglied
418,172,,Stefan Batzli,Agentur für Erneuerbare Energien und Energieeffizienz,4010952,S,4010952,M,Solothurn,SO,
173,173,,Tettamanti Elvio,Gast,p26001067974,0,p26001067974,,,,Familienmitglied
174,174,,Wartenweiler Johannes,Persönlicher Mitarbeiter,,1,,,,,http://www.sp-bern-nord.ch/aktuell/abstimmungen-wahlen/32-wahlen-2012/133-johannes-wartenweiler
420,174,,Wyss Manuel,Unia,,S,,,,,
175,175,,Cueni Thomas,Interpharma,121692,M,121692,M,Binningen,BL,
422,176,,Rohr Daniel C.,Rohr Communications,,M,,,,,
176,176,,Zürcher Montali Ines,Persönliche Mitarbeiterin,625628,1,625628,F,Breganzona,TI,
,,neu,Zijdenbos Theo,Vereinigung Schweizerischer Privatbanquiers,,,,,,,
177,177,alt,Hofmann Max,Fédération Suisse des Fonctionnaires de Police,1020194,S,1020194,M,Colombier NE,NE,
423,177,alt,Willener Walter,Association suisse pour un secteur agroalimentaire fort,527355,S,527355,M,Auvernier,NE,
424,178,,Enggasser Josiane,Schweizer Obstverband,4178254,S,4178254,F,Emmen,LU,
178,178,,Mühlethaler Jan,Schweizer Aussenwirtschaftsförderung Osec,p28002992189,S,p28002992189,,,,
425,179,,Derrer-Balladore Ruth,Schweizerischer Arbeitgeberverband,,S,,,,,
179,179,,Studerus Konrad,"Studerus und Partner, Zug",477648,M,477648,M,Menzingen,ZG,
426,180,,Gfeller Kurt,Schweizerischer Gewerbeverband,880278,S,880278,M,Lyss,BE,
180,180,,Sutter Sigrid,Swiss Label,,S,,,,,
181,181,,Björk Michaela,Persönliche Mitarbeiterin,p25004801411,1,p25004801411,,,,
,181,neu,Schweri Kim Lara,Réseau OSEO / Netzwerk SAH,,S,,,,,
182,182,,Baertschi François,Persönlicher Mitarbeiter,45382,1,45382,M,Carouge GE,GE,
428,182,,Stauffer Eric,Mouvement Citoyens Romand - Mouvement Citoyens Geenvois MCR-MCG,,2,,,,,
183,183,,Maurer Thomas C.,Maurer Partner Communications,975543,M,975543,M,Bern,BE,
430,184,,Burkhardt Michael,Sunrise,,J,,,,,
184,184,,Meyer Urs F.,Schweizer Medien,335092,S,335092,M,Solothurn,SO,
431,185,,Ambrosetti Renzo,Gewerkschaft Unia,33776,S,33776,M,Monte Carasso,TI,
185,185,,Werder Christina,Schweizerischer Gewerkschaftsbund,6446441,S,6446441,F,Zürich,ZH,
432,186,,Comina Claude,Gast,,0,,,,,
186,186,,Karch Herbert,Agrarallianz / Kleinbauern-Vereinigung VKMB,848993,S,848993,M,Wattenwil,BE,
187,187,,Geninazzi Angelo,Economiesuisse Svizzera italiana,,S,,,,,
433,187,,Trisconi Michela,Persönliche Mitarbeiterin,,1,,,,,
434,188,,Horisberger Marc,"Verband der Poker-, Geschicklichkeits- und Unterhaltungsspiele-Anbieter VPUG",,S,,,,,
188,188,,Simonet Denis,Piratenpartei,p21008036913,2,p21008036913,,,,
435,189,,Hürzeler Urs,Persönlicher Mitarbeiter,,1,,,,,
189,189,,Reimann Hans Peter,Gast,6970879,0,6970879,M,Wallbach,AG,
436,190,alt,Grob Annina,Union des Etudiants de Suisse,,S,,,,,
190,190,,Strozzi Elena Antonella,Initiative des Alpes,,S,,,,,
,190,neu,Hugentobler Manuela Annette,Union des Etudiants de Suisse UNES,,S,,,,,
437,191,alt,Cornu Pierre,Persönlicher Mitarbeiter,,1,,,,,
191,191,alt,Suter Bertil,Gast,p22010017274,0,p22010017274,,,,
192,192,,Bachmann Jürg,Verband Schweizer Privatradios VSP,,S,,,,,
439,193,,Christoph Kull,Beratendes Organ für Fragen der Klimaänderung des Bundes OcCC,,2,,,,,
193,193,,Schwitter Stephan,Wohnbaugenossenschaft Schweiz,816649,L,816649,M,Horgen,ZH,
194,194,,Salzmann Bernard,Usam,,S,,,,,
441,195,,Josef Dissler,Schweizerischer Bauernverband,944515,S,944515,M,Wolhusen,LU,
195,195,,Widmer Andreas,St. Galler Bauernverband,524178,S,524178,M,Mühlrüti,SG,
196,196,,Kuert Killer Matthias,Travailsuisse,5912967,S,5912967,M,Bern,BE,
442,196,,Rossi Michele,Associazioni economiche ticinesi,5413724,S,5413724,,,,
197,197,,Zimmermann Thomas,Schweizerischer Gewerkschaftsbund,,S,,,,,
198,198,,Besio Beatrix,Persönliche Mitarbeiterin,4034403,1,4034403,F,Niederwangen b. Bern,BE,
444,198,,Gfeller Peter,Schweizer Milchproduzenten SMP,188532,S,188532,M,Kappelen,BE,
199,199,,Paltenghi Luca,Persönlicher Mitarbeiter,p27007321472,1,p27007321472,,,,
200,200,,Lauber Tamara,Persönliche Mitarbeiterin,6951145,1,6951145,F,Zürich,ZH,
447,201,,Bianchi Doris,Schweizerischer Gewerkschaftsbund,,S,,,,,
201,201,,Rodewald Raimund,Stiftung Landschaftsschutz Schweiz,728838,S,728838,M,Bern,BE,
448,202,,Fleury Mathieu,Fédération romande des consommateurs FRC,,S,,,,,
202,202,,Ruiz Rebecca,Gast,,0,,,,,
449,203,,Beglinger Caroline,Verkehrsclub der Schweiz VCS,865001,S,865001,F,Biel/Bienne,BE,
203,203,,Ulrico Kessler,Pro Natura,,S,,,,,
450,204,,Bienlein Martin,H+ die Spitäler der Schweiz,5164353,S,5164353,M,Bern,BE,Leiter Geschäftsbereich Politik H+ (http://www.hplus.ch/de/servicenav/h_verband/geschaeftsstelle/)
204,204,,Tschirky Erich,Schweizerische Gesundheitsliga-Konferenz Geliko,5397624,S,5397624,M,Zürich,ZH,
205,205,,Kaufmann Hans-Peter,Suissetec,,S,,,,,
451,205,,Müller Roland A.,Schweizerischer Arbeitgeberverband,,S,,,,,
452,206,,Imbach Konrad,Verband Hafner- und Plattengeschäfte,,S,,,,,
206,206,,Weissen Roman,KM Konsulta,,M,,,,,
208,208,,Dürr Lucius,Schweizerischer Versicherungsverband,139779,S,139779,M,Zürich,ZH,
454,208,,Mark Saxer,Furrer.Hugi und Partner / Swiss Police ICT  / SPIK,6243190,M,6243190,M,Weisslingen,ZH,
209,209,,Buser Christoph,Wirtschaftskammer Baselland,4886204,S,4886204,M,Füllinsdorf,BL,
210,210,,Nadler Anna-Lena,Jugendsession,,2,,,,,
211,211,,Mohn Sabrina,CVP Baselland,6595930,2,6595930,F,Allschwil,BL,
457,211,,Saladin Franz,Handelskammer beider Basel,5190083,S,5190083,M,Duggingen,BL,
458,212,,Corpataux José,Schweizerischer Gewerkschaftsbund,,S,,,,,
212,212,,Polito Véronique,Schweizerischer Gewerkschaftsbund,5799727,S,5799727,F,Fribourg,FR,
459,213,,Castella Christian,Fédération des Entreprises Romandes,,S,,,,,
213,213,,Spicher Georges,Verband der Schweizerischen Cementindustrie Cemsuisse,460117,S,460117,M,Schmitten FR,FR,
461,215,,Liner Marcel,Pro Natura,,S,,,,,
215,215,,Ulber Marcus,Pro Natura,p21001303348,S,p21001303348,,,,
462,216,,Oberbeck Simon,JDC Suisse,6525747,2,6525747,M,Birsfelden,BL,
216,216,,Verrey Etiennette J.,Commission fédérale pour les questions féminines,5313040,2,5313040,F,Lausen,BL,
463,217,,Niggli Peter,Alliance Sud,970677,S,970677,M,Zürich,ZH,Geschäftsleiter seit 1998: http://www.northsouth.ethz.ch/news/past_events/forum3/Peter_Niggli_CV.pdf
217,217,,Sauvain Mélanie,Entraide Suisse Handicap Agile,,S,,,,,Sekretärin AGILE seit 2009: http://www.agile.ch/news-fr&getDoc=580
218,218,,Alf Arnold,Verein Alpen-Initiative,5751781,S,5751781,M,Altdorf UR,UR,"Geschäftsführer Alpeninitiative, 
Grüne Uri, VCS Uri, etc.
http://www.gruene-uri.ch/landrat-2012-2016/alf-arnold/"
464,218,,Rey Alfred,Schweizer Paraplegiker-Vereinigung,4663719,Q,4663719,M,Sion,VS,"Leiter Public Affairs;
Gleichzeitig Bundeshauskorrespondent des Walliser Boten: http://www.fmef.ch/docs/1ollo_wb.pdf"
465,219,,Grichting Thomas J.,Groupe Mutuel,6522394,K,6522394,M,Ried-Brig,VS,"CEO Groupe Mutuel, 
Allianz Schweizerischer Krankenversicherer,
Schweizerischer Versicherungsverband"
